Year,OverallPick,Name,age,height,pos,COLLEGE,SEASON,ncaaG,ncaaMP,ncaaFGM,ncaaFGA,ncaaFGPER,ncaaM2PM,ncaa2PA,ncaa2PER,ncaa3PM,ncaa3PA,ncaa3PER,ncaaFTM,ncaaFTA,ncaaFTPER,ncaaTRB,ncaaAST,ncaaSTL,ncaaBLK,ncaaTOV,ncaaPF,ncaaPTS,nbaG,nbaMP,nbaPTS,nbaTRB,nbaAST,nbaFGPER,nba3PER,nbaFTPER,nbaMP_G,nbaPTS_G,nbaTRB_G,nbaAST_G,nbaWS,nbaWS_48,nbaBPM,nbaVORP
2006,24,Kyle Lowry,20.1,73,Guard,Villanova University,2005-06,33,967,4.8,10.4,0.466,4.5,9.6,0.468,0.3,0.7,0.444,5,6.4,0.786,5.9,5,3.2,0.3,,,15,713,22058,10162,2909,4123,0.424,0.364,0.799,30.9,14.3,4.1,5.8,69.9,0.152,3.7,31.5
2006,50,Ryan Hollins,21.266,85,Big,University of California Los Angeles,2005-06,33,710,4.7,7.5,0.619,4.7,7.5,0.619,0,0,,3.7,6.1,0.602,8.8,0.6,0.4,1.6,,,13,518,6134,1913,1140,151,0.584,0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-2.6,-1
2006,11,J.J. Redick,22.009,76,Guard,Duke University,2005-06,36,1336,9,19.3,0.47,4.9,9.4,0.521,4.2,9.9,0.421,6.6,7.7,0.863,2.1,2.8,1.6,0.1,,,28.9,690,17165,8214,1324,1276,0.447,0.415,0.888,24.9,11.9,1.9,1.8,46.5,0.13,0.1,9.2
2006,2,LaMarcus Aldridge,20.349,83,Big,University of Texas at Austin,2005-06,37,1247,7,12.3,0.569,7,12.3,0.569,0,0,,3.8,5.8,0.646,10.9,0.6,1.6,2.3,,,17.8,794,27568,15136,6590,1510,0.486,0.287,0.802,34.7,19.1,8.3,1.9,86.7,0.151,1.2,22.5
2006,44,Lior Eliyahu,20.297,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,42,Daniel Gibson,20.126,74,Guard,University of Texas at Austin,2005-06,37,1228,5.3,13.1,0.405,2,4.4,0.456,3.3,8.7,0.38,2.2,3.1,0.726,4.3,3.8,1.6,0.4,,,16.2,397,9316,3115,792,775,0.402,0.407,0.78,23.5,7.8,2,2,16,0.082,-1,2.3
2006,20,Renaldo Balkman,21.354,80,Big,University of South Carolina,2005-06,38,978,6.2,10.2,0.608,6.1,9.7,0.624,0.2,0.5,0.308,2.3,4.3,0.538,9.8,3,2.7,2,,,14.9,221,3064,894,769,132,0.51,0.172,0.542,13.9,4,3.5,0.6,7.2,0.113,0.9,2.2
2006,55,Ejike Ugboaja,21.036,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,23,Josh Boone,21.224,82,Big,University of Connecticut,2005-06,34,922,5.9,10.5,0.564,5.9,10.5,0.564,0,0,,3.3,6,0.547,10.3,1,0.6,3,,,15.2,256,4482,1340,1258,125,0.544,,0.445,17.5,5.2,4.9,0.5,9.1,0.097,-1.9,0.1
2006,25,Shannon Brown,20.216,76,Guard,Michigan State University,2005-06,34,1196,6.8,14.5,0.467,4.6,9,0.513,2.1,5.5,0.39,3.9,4.7,0.83,5,3.1,1.7,0.2,,,19.6,408,7329,3118,760,458,0.42,0.332,0.807,18,7.6,1.9,1.1,9.2,0.06,-2.3,-0.6
2006,10,Mouhamed Sene,20.052,13,,,,,,,,,,,,,,,,,,,,,,,,,260,103,75,1,0.427,,0.589,5.5,2.2,1.6,0,0.3,0.052,-9.3,-0.5,
2006,34,Paul Davis,21.347,83,Big,Michigan State University,2005-06,33,1018,8.1,14.3,0.566,7.9,13.6,0.58,0.2,0.7,0.316,6.3,7.2,0.87,11.8,2.1,1.3,1.1,,,22.7,82,702,217,158,32,0.402,0,0.732,8.6,2.6,1.9,0.4,0.5,0.035,-4.7,-0.5
2006,60,Will Blalock,22.299,73,Guard,Iowa State University,2005-06,30,1072,6.6,14.8,0.447,4.9,10.4,0.468,1.8,4.4,0.398,2.2,3.4,0.659,3.7,6.9,2.4,0.1,,,17.2,14,166,25,15,17,0.3,0.2,1,11.9,1.8,1.1,1.2,-0.1,-0.032,-5.7,-0.2
2006,45,Alexander Johnson,23.146,81,Big,Florida State University,2005-06,29,723,7,13,0.54,6.5,11.4,0.573,0.5,1.6,0.31,6.6,9.4,0.706,12,1.2,1.7,1.7,,,21.2,102,1302,439,275,30,0.517,,0.672,12.8,4.3,2.7,0.3,1.5,0.056,-4.3,-0.7
2006,56,Edin Bavcic,22.028,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,48,Vladimir Veremeenko,21.347,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,26,Jordan Farmar,19.215,74,Guard,University of California Los Angeles,2005-06,37,1125,6.1,14.9,0.41,3.9,8.2,0.472,2.2,6.7,0.333,3.2,4.5,0.717,3.4,6.7,1.5,0.3,,,17.7,504,9840,3888,958,1453,0.423,0.374,0.739,19.5,7.7,1.9,2.9,13.9,0.068,-1.4,1.6
2006,6,Brandon Roy,21.345,78,Guard,University of Washington,2005-06,33,1046,8.7,17.2,0.508,7.2,13.5,0.537,1.5,3.7,0.402,6.5,8.1,0.81,7.1,5.2,1.8,1,,,25.5,326,11561,6136,1388,1517,0.459,0.348,0.8,35.5,18.8,4.3,4.7,37.4,0.155,3.2,15.2
2006,37,Bobby Jones,22.176,13,,University of Washington,,,,,,,,,,,,,,,,,,,,,,,867,288,149,44,0.442,0.306,0.685,9.5,3.2,1.6,0.5,1.1,0.06,-3.5,-0.3,
2006,46,Dee Brown,21.32,13,,University of Illinois at Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,711,140,69,119,0.34,0.25,0.643,10.5,2.1,1,1.8,0.1,0.008,-4.1,-0.4,
2006,13,Thabo Sefolosha,22.062,13,,,,,,,,,,,,,,,,,,,,,,,,,17211,4400,2875,1111,0.446,0.345,0.732,23.3,5.9,3.9,1.5,34.6,0.096,1.1,13.3,
2006,5,Shelden Williams,22.256,81,Big,Duke University,2005-06,36,1198,7.9,13.7,0.578,7.8,13.5,0.582,0.1,0.2,0.333,6.7,9,0.744,12.8,1.3,2,4.6,,,22.6,361,5586,1618,1562,163,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,-2.8,-1.2
2006,53,Yotam Halperin,22.161,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,22,Marcus Williams,20.212,75,Guard,University of Connecticut,2005-06,23,767,4.3,10.6,0.407,3.1,7.5,0.41,1.3,3.1,0.4,4.9,5.7,0.862,4.6,10.3,1.1,0.3,,,14.8,203,3095,1128,361,574,0.386,0.321,0.767,15.2,5.6,1.8,2.8,0,-0.001,-4.6,-2
2006,59,Damir Markota,20.189,13,,,,,,,,,,,,,,,,,,,,,,,,,170,51,31,6,0.365,0.375,0.636,5.7,1.7,1,0.2,-0.2,-0.07,-9,-0.3,
2006,9,Patrick O'Bryant,20.013,85,Big,Bradley University,2005-06,25,642,8.3,15,0.552,8.3,15,0.552,0,0,,4.3,6.4,0.676,12.9,1.3,1.4,4.5,,,20.9,90,524,186,127,25,0.494,0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,-3.1,-0.2
2006,12,Hilton Armstrong,21.234,83,Big,University of Connecticut,2005-06,34,943,5,8.2,0.608,5,8.1,0.609,0,0.1,0.5,3.9,5.6,0.692,9.6,1.1,0.9,4.5,,,14,292,3378,880,766,102,0.501,0.286,0.582,11.6,3,2.6,0.3,3.9,0.055,-2.8,-0.7
2006,41,James Augustine,22.127,82,Big,University of Illinois at Urbana-Champaign,2005-06,33,1079,6.5,10.3,0.624,6.4,10.3,0.625,0,0.1,0.5,3.7,5.6,0.651,11.1,2.2,1.7,0.9,,,16.6,27,156,42,33,4,0.514,,0.5,5.8,1.6,1.2,0.1,0.3,0.101,-2.2,0
2006,43,Marcus Vinicius,22.033,13,,,,,,,,,,,,,,,,,,,,,,,,,172,50,19,7,0.457,0.421,0.556,6.6,1.9,0.7,0.3,0.2,0.056,-3.6,-0.1,
2006,8,Rudy Gay,19.32,81,Big,University of Connecticut,2005-06,33,1015,7.4,16,0.461,6.3,12.5,0.5,1.1,3.5,0.318,4,5.4,0.732,8.3,2.7,2.3,2,,,19.8,753,26815,13860,4452,1709,0.452,0.345,0.796,35.6,18.4,5.9,2.3,47.4,0.085,0.5,16.8
2006,27,Sergio Rodriguez,20.021,13,,,,,,,,,,,,,,,,,,,,,,,,,5281,1747,525,1183,0.409,0.337,0.739,15,4.9,1.5,3.4,4.3,0.039,-3.2,-1.6,
2006,14,Ronnie Brewer,21.105,79,Guard,University of Arkansas,2005-06,32,1112,7.1,16.1,0.441,5.3,10.6,0.493,1.8,5.4,0.338,5.2,6.9,0.75,5.5,3.7,3,0.5,,,21.2,502,11539,3940,1427,828,0.49,0.254,0.675,23,7.8,2.8,1.6,30.4,0.127,1.7,10.7
2006,15,Cedric Simmons,20.181,81,Big,North Carolina State University,2005-06,32,880,5.8,9.9,0.587,5.7,9.8,0.583,0.1,0.1,1,5.5,8,0.678,9.2,2.5,1,3.6,,,17.2,75,705,163,141,14,0.409,,0.39,9.4,2.2,1.9,0.2,0.1,0.005,-5.7,-0.7
