name,2015xrapm,2015oxrapm,2015dxrapm,2014xrapm,2014oxrapm,2014dxrapm,2013xrapm,2013oxrapm,2013dxrapm,2012xrapm,2012oxrapm,2012dxrapm,2011xrapm,2011oxrapm,2011dxrapm,2010xrapm,2010oxrapm,2010dxrapm,2009xrapm,2009oxrapm,2009dxrapm,2008xrapm,2008oxrapm,2008dxrapm,2007xrapm,2007oxrapm,2007dxrapm,2006xrapm,2006oxrapm,2006dxrapm,2005xrapm,2005oxrapm,2005dxrapm,
Jordan Clarkson,-3.68,-1.12,-2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracy McGrady,,,,,,,0.29,-0.07,0.35,1.74,-0.49,2.23,0.19,-1.36,1.55,-1.76,0.22,-1.98,-0.87,-0.47,-0.4,2.22,1.16,1.06,1.94,1.73,0.21,1.98,1.8,0.19,2.82,2.22,0.6,
Stephen Graham,,,,,,,,,,,,,-4.01,-1.71,-2.3,-0.37,-1.94,1.57,0.03,-0.78,0.81,-0.3,-0.38,0.09,-1.78,-0.62,-1.16,-0.24,0.13,-0.37,,,,
Jan Vesely,,,,-3.09,-3.01,-0.08,-1.1,0.31,-1.41,-1.32,-1.48,0.16,,,,,,,,,,,,,,,,,,,,,,
Kenneth Faried,1.06,1.72,-0.65,-0.52,1.33,-1.86,1.15,1.02,0.12,-0.88,0.72,-1.6,,,,,,,,,,,,,,,,,,,,,,
Erick Strickland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.08,-1.44,-0.64,
Hedo Turkoglu,-0.11,0.14,-0.25,0.13,-0.18,0.31,-2.05,-1.19,-0.86,0.22,0.9,-0.68,1.77,1.34,0.42,-0.91,0.5,-1.41,3.04,1.21,1.83,2.5,2.58,-0.08,2.43,1.84,0.59,-0.16,0.41,-0.57,-0.58,0.51,-1.09,
Dante Cunningham,0.43,0.2,0.23,0.16,0.16,0.0,-1.12,-1.06,-0.06,-2.42,-2.34,-0.08,-1.88,-1.21,-0.67,0.42,0.83,-0.41,,,,,,,,,,,,,,,,
Loren Woods,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.02,-0.18,,,,-0.16,0.11,-0.28,-1.6,-2.24,0.64,
James White,,,,,,,-2.76,-0.99,-1.77,,,,,,,,,,-0.78,-0.48,-0.3,,,,-1.47,-0.93,-0.55,,,,,,,
Austin Daye,-1.78,-1.07,-0.71,-0.62,0.08,-0.7,1.0,1.0,0.0,-3.58,-3.1,-0.48,-1.88,-0.86,-1.03,-2.14,-0.79,-1.34,,,,,,,,,,,,,,,,
Kalin Lucas,-0.66,-0.34,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Lopez,0.86,-0.21,1.07,0.95,0.33,0.63,-0.13,-0.83,0.7,-0.08,-0.25,0.16,-2.02,-1.37,-0.65,-0.05,0.58,-0.62,-1.91,-1.16,-0.75,,,,,,,,,,,,,
Calbert Cheaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.11,-2.41,-0.69,-1.4,-1.87,0.47,
Joey Graham,,,,,,,,,,,,,-0.79,-0.97,0.19,-1.98,-2.19,0.21,-0.61,-0.94,0.33,-0.15,0.06,-0.21,0.64,0.55,0.08,-3.03,-1.28,-1.75,,,,
Lonny Baxter,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39,0.04,-0.43,-1.03,-0.61,-0.42,
Wally Szczerbiak,,,,,,,,,,,,,,,,,,,-1.01,-0.47,-0.54,0.73,-0.3,1.03,-1.15,0.27,-1.42,0.7,1.38,-0.68,-0.34,0.89,-1.24,
Sergio Rodriguez,,,,,,,,,,,,,,,,-0.45,-0.02,-0.43,-1.06,-1.02,-0.04,-2.53,-2.03,-0.5,-1.97,-0.9,-1.07,,,,,,,
Jason Hart,,,,,,,,,,,,,,,,-0.2,-0.3,0.1,-3.29,-3.01,-0.28,-0.75,-1.19,0.44,-0.34,-0.01,-0.33,-2.21,-2.48,0.27,-3.04,-2.3,-0.74,
Ben Hansbrough,,,,,,,-1.93,-1.75,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,
Damon Jones,,,,,,,,,,,,,,,,,,,-0.66,-0.05,-0.61,-0.57,0.65,-1.23,-0.24,1.34,-1.59,0.7,1.49,-0.79,3.05,2.93,0.12,
Allan Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.47,-0.26,
Semih Erden,,,,,,,,,,-2.06,-1.21,-0.85,-1.06,-0.94,-0.12,,,,,,,,,,,,,,,,,,,
Malik Hairston,,,,,,,,,,,,,,,,-0.41,0.82,-1.23,-0.8,-0.86,0.06,,,,,,,,,,,,,
Troy Daniels,-2.82,-1.58,-1.24,0.77,1.21,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cory Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9,-1.14,-0.76,
Larry Owens,,,,,,,,,,-0.98,-0.68,-0.3,0.34,-0.53,0.87,,,,,,,,,,,,,,,,,,,
Glenn Robinson,0.42,0.98,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52,-0.91,0.39,
Michael Redd,,,,,,,,,,-2.37,-0.52,-1.85,-0.23,0.09,-0.32,-3.13,-2.96,-0.17,2.08,2.71,-0.63,-1.6,0.79,-2.39,1.75,2.34,-0.59,1.46,2.44,-0.97,-1.87,0.27,-2.15,
George Hill,2.32,2.28,0.05,0.65,-0.66,1.31,2.86,1.06,1.8,2.5,1.74,0.76,1.84,1.5,0.34,0.07,0.11,-0.04,-0.46,-1.22,0.76,,,,,,,,,,,,,
Richie Frahm,,,,,,,,,,,,,,,,,,,,,,-0.01,-0.65,0.64,,,,-0.9,-0.31,-0.58,-0.63,-0.28,-0.35,
Mike Bibby,,,,,,,,,,-1.55,-0.7,-0.86,-0.48,0.59,-1.06,1.23,0.24,0.99,-0.55,0.55,-1.1,-0.42,1.58,-2.0,1.15,0.47,0.67,0.27,0.95,-0.68,1.23,1.72,-0.5,
Thomas Gardner,,,,,,,,,,,,,,,,,,,0.05,-0.91,0.96,-0.62,-0.63,0.01,,,,,,,,,,
Aleksandar Radojevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.98,0.28,
Antonio Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.49,-1.2,-0.28,-0.47,-2.31,1.84,
Chris Wright,,,,-1.0,-0.02,-0.98,-0.61,-0.36,-0.25,-0.84,-0.63,-0.21,,,,,,,,,,,,,,,,,,,,,,
James Harden,4.8,5.25,-0.45,3.19,3.12,0.07,0.23,2.02,-1.79,4.37,5.29,-0.92,1.52,2.17,-0.66,1.25,0.6,0.64,,,,,,,,,,,,,,,,
Carldell Johnson,,,,,,,,,,-0.26,-0.31,0.05,,,,,,,,,,,,,,,,,,,,,,
Anthony Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,-0.29,-0.15,
Yakhouba Diawara,,,,,,,,,,,,,,,,-0.85,-0.53,-0.32,-1.48,-1.53,0.05,-0.65,-1.49,0.84,-0.56,-1.19,0.63,,,,,,,
Al-Farouq Aminu,2.34,0.67,1.67,-1.22,-0.84,-0.38,1.93,0.29,1.63,0.65,-1.03,1.68,-2.85,-2.48,-0.37,,,,,,,,,,,,,,,,,,,
Dwight Howard,2.81,0.57,2.24,2.36,0.83,1.53,-0.52,-1.85,1.33,2.21,-0.25,2.46,4.42,0.99,3.43,4.02,2.19,1.83,2.5,0.28,2.21,2.52,2.52,0.0,0.77,0.22,0.54,1.81,1.4,0.41,-2.35,-1.03,-1.33,
Rashard Lewis,,,,0.65,0.62,0.02,-1.7,-1.35,-0.35,-1.86,-1.35,-0.51,0.44,-0.31,0.75,1.46,0.38,1.09,4.75,2.43,2.32,2.17,0.82,1.35,1.4,1.29,0.1,-1.22,1.88,-3.09,3.83,2.86,0.96,
Pau Gasol,0.6,0.51,0.09,-2.17,-0.73,-1.44,0.37,0.17,0.2,1.58,0.6,0.98,3.83,2.46,1.38,1.66,2.02,-0.36,2.45,2.41,0.05,4.02,2.38,1.64,-1.52,1.29,-2.81,1.59,1.02,0.57,1.92,1.68,0.23,
Travis Wear,-1.21,-1.38,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clifford Robinson,,,,,,,,,,,,,,,,,,,,,,,,,-5.15,-2.63,-2.52,-0.44,-1.18,0.74,-4.04,-1.21,-2.83,
Sam Young,,,,,,,-2.21,-2.01,-0.2,-2.09,-2.84,0.75,-0.89,-0.9,0.01,-3.72,-2.69,-1.03,,,,,,,,,,,,,,,,
Al Harrington,,,,-0.32,-0.14,-0.18,-1.24,-0.17,-1.08,1.26,1.15,0.12,0.37,0.79,-0.41,-2.87,-0.86,-2.01,1.31,0.57,0.74,0.42,0.48,-0.06,-1.05,-0.59,-0.46,-1.25,0.17,-1.42,-1.82,-2.06,0.24,
Bobby Jackson,,,,,,,,,,,,,,,,,,,-0.25,0.21,-0.47,0.17,-1.27,1.45,1.28,0.3,0.97,2.22,0.47,1.75,0.17,-0.37,0.54,
Mickell Gladness,,,,,,,,,,-1.69,-1.36,-0.33,,,,,,,,,,,,,,,,,,,,,,
Nicolas Batum,0.29,0.67,-0.38,1.85,1.56,0.29,-0.4,0.46,-0.85,-2.01,0.54,-2.56,-1.51,-0.18,-1.34,1.13,1.64,-0.51,1.17,1.61,-0.44,,,,,,,,,,,,,
Andrew Bynum,,,,-2.66,-2.29,-0.37,,,,0.76,0.04,0.72,0.97,-1.1,2.07,0.41,-0.32,0.74,0.68,-0.82,1.5,2.26,1.43,0.83,-1.5,-1.82,0.31,-1.77,-1.45,-0.32,,,,
